Bokmål,Nynorsk,Engelsk,"Merknad"
primært ideal,primært ideal,primary ideal,
monomorfi,monomorfi,monomorphism,
normalitetsantakelse,normalitetsantaking,normality assumption,
kompaktgenerert,kompaktgenerert,compactly generated,
koeffisient,koeffisient,coefficient,
tensor,tensor,tensor,
brennpunkt,brennpunkt,focus,
overdekning,overdekking,cover<br>covering,
projektiv modul,projektiv modul,projective module,
kvotient,kvotient,quotient,
jacobsonradikal,jacobsonradikal,Jacobson radical,
punktkonstruksjonspostulatet,punktkonstruksjonspostulatet,point construction postulate,
lebesgueintegrasjon,lebesgueintegrasjon,Lebesgue integration,
populasjon,populasjon,population,
kongruent,kongruent,congruent,
komplett snitt,komplett snitt,complete intersection,
kolonnevektor<br>søylevektor,kolonnevektor<br>søylevektor,column vector,
hypotesetesting,hypotesetesting,hypothesis testing,
oktaederaksiomet,oktaederaksiomet,octahedral axiom,
kontingenstabell,kontingenstabell,contingency table,
begrensning<br>restriksjon,avgrensing<br>restriksjon,restriction,
basis,basis,basis,"De engelske termene <i>base</i> og <i>basis</i> brukes ikke helt synonymt. For eksempel vil <i>base</i> foretrekkes i topologi, mens <i>basis</i> brukes i lineær algebra. Merk at begge oversettes til basis på norsk."
multinomisk koeffisient,multinomisk koeffisient,multinomial coefficient,
formodning,førehandstru,conjecture,
renormalisering,renormalisering,renormalization,
hypergeometrisk fordeling,hypergeometrisk fordeling,hypergeometric distribution,
indre,indre,interior,
submersjon,submersjon,submersion,
ikke-null,ikkje-null,non-zero,
støtte,støtte,support,
minimum,minimum,minimum,
entydig faktoriseringsområde,eintydig faktoriseringsområde,unique factorization domain,"Entydig faktoriseringsområde forkortes ofte til UFD."
indreprodukt,indreprodukt,inner product,
ligning<br>likning,likning,equation,
ekvivalent,ekvivalent,equivalent,
sirkelring,sirkelring,annulus,
generert,generert,generated,
ergodeteori,ergodeteori,ergodic theory,
hilbertrom,hilbertrom,Hilbert space,
harmonisk funksjon,harmonisk funksjon,harmonic function,
log-normal,log-normal,lognormal,
understokastisk matrise,understokastisk matrise,substochastic matrix,
boolsk,boolsk,Boolean,
forventningsverdi,forventingsverdi,expected value<br>mean,
naturlig transformasjon,naturleg transformasjon,natural transformation,
differensialoperator,differensialoperator,differential operator,
helavslutning<br>heltallstillukning,heilavslutning<br>heiltalstillukking,integral closure,
paretofordeling,paretofordeling,Pareto distribution,
prediksjonsintervall,prediksjonsintervall,prediction interval,
prognose,prognose,forecast,
monisk polynom,monisk polynom,monic polynomial,
likhet,likskap,equality,
formel,formel,formula,
skjevhet,skeivskap,skewness,
sannsynlighetsmaksimeringsestimat,sannsynsmaksimeringsestimat,maximum likelihood estimate,
Hilberts basisteorem,Hilberts basisteorem,Hilbert's basis theorem,
korde,korde,chord,
separabel utvidelse,separabel utviding,separable extension,
trofast modul,trufast modul,faithful module,
glatt,glatt,smooth,
kvantor,kvantor,quantifier,
høyreinverterbar,høgreinverterbar,right invertible,
trappematrise,trappematrise,matrix in row echelon form,
ring,ring,ring,
binomialkoeffisient,binomialkoeffisient,binomial coefficient,
kurtosekoeffisient,kurtosekoeffisient,coefficient of kurtosis,
trappefunksjon,trappefunksjon,step function,
samspill,samspel,interaction,
undergruppe,undergruppe,subgroup,
pil,pil,arrow,
arvelig ring<br>hereditær ring,arveleg ring<br>hereditær ring,hereditary ring,
kvadratisk matrise,kvadratisk matrise,square matrix,
Fermats siste sats,Fermats siste sats,Fermat's Last Theorem,
moment,moment,moment,"Legg merke til at denne oversettelsen gjelder innen statistikk. I fysikk kan <i>moment</i> referere til det som på norsk kalles bevegelsesmengde (bokmål) og rørslemengd (nynorsk)."
p-primært ideal,p-primært ideal,p-primary ideal,
kompleks,kompleks,complex,
åpen overdekning,open overdekking,open cover<br>open covering,
topp,topp,peak,"Oversettelsen gjelder bruk innen blant annet statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
regulært rom,regulært rom,regular space,
evalueringshomomorfi,evalueringshomomorfi,evaluation homomorphism,
på,på,onto,"Synonym: surjektiv"
heltallsring,heiltalsring,ring of integers,
adjungert matrise,adjungert matrise,adjoint matrix,
veihomotop,veghomotop,path homotopic,
residualplott,residualplott,residual plot,
trippel,trippel,triple,
algebraisk,algebraisk,algebraic,"Ordklasse: adjektiv"
homomorf,homomorf,homomorphic,
spenn,spenn,span,"Ordklasse: substantiv"
naturlig logaritme,naturleg logaritme,natural logarithm,
ikke-lineær,ikkje-lineær,nonlinear,
origo,origo,origin,
